SHAP_Age_0_14_Pct,SHAP_Age_15_64_Pct,SHAP_Age_65_Plus_Pct,SHAP_Income,SHAP_Disposable_Income,SHAP_Consumption,SHAP_Higher_Education_Pct,SHAP_Graduate_Pct,SHAP_Avg_People_Per_HH,District,Actual_Winner
0.018526577589077584,0.011976003163503172,0.03022044159544159,0.01630646668146669,0.005808802308802306,-0.010429244366744365,0.019389728327228323,-0.010305631868131871,0.06636399942649944,Taipei City,Lai_Hsiao
0.039187199374699375,-0.056848304473304474,-0.03859921097421099,0.03398469123469124,0.016490981240981237,0.011228535353535359,0.035312227124727126,0.037092113904613914,0.060008910071410064,New Taipei City,Lai_Hsiao
0.03707458976208977,0.025456522644022643,0.030340811965811964,0.04055418192918193,0.019132756132756123,0.016996621434121433,0.037076657139157136,0.04080860574610575,-0.059583603896103884,Taoyuan City,Lai_Hsiao
0.03587058543308543,0.02333579152329153,0.025367266992266994,0.03227778702778703,-0.0031445406445406478,0.01421361277611278,0.029255889943389943,0.03601784095534096,0.06466290885040887,Taichung City,Lai_Hsiao
0.01410333879083879,-0.0017175162800162785,0.01153396140896141,0.0184118820993821,0.008417522292522286,-0.004792637917637916,0.027224865412365414,0.033967398342398356,0.08070832870832874,Tainan City,Lai_Hsiao
0.021221470658970655,0.006856354293854295,0.02149927387427386,0.018051520239020243,-0.00980164742664743,0.01382138694638695,0.0307394758019758,0.037103026603026605,0.0783662818662819,Kaosiung City,Lai_Hsiao
0.010523515836015835,0.0059921398046398015,0.024735065860065852,0.023944391256891264,0.006924797424797421,-0.012332320457320458,-0.045917575480075495,-0.033270650645650636,0.07725777925777928,Yilan County,Lai_Hsiao
-0.07721597152847155,-0.016463571151071145,-0.08886470473970474,-0.03770952658452659,0.0034537684537684476,-0.014235618548118556,0.0018606879231879243,-0.024323183760683764,-0.1286447372072372,Hsinchu County,Hou_Chao
-0.006677241739741746,-0.025734411421911425,-0.008613747363747367,-0.008821074758574753,-0.05279617604617604,-0.031959665334665335,-0.07361838855588855,-0.04620174732674733,-0.1277204045954046,Miaoli County,Hou_Chao
0.02174787481037481,0.010966346153846156,0.02655593943093942,0.02457168063418064,0.015730352980352975,0.011316489066489067,-0.037079011266511294,-0.025258079883079886,0.07930555093055094,Chuanghua County,Lai_Hsiao
-0.04384958328708331,-0.10082263107263108,-0.059315934065934064,-0.06569583194583196,-0.051619112369112374,-0.03659471084471085,-0.02904722823472823,-0.04715468096718096,-0.038043144355644376,Nantou County,Hou_Chao
0.0018419080919080877,0.0002949897324897345,-0.014455229955229972,0.02950305481555481,0.007162934287934285,0.0043711427461427445,-0.021261465386465388,0.00569971463721464,0.07470009388759388,Yunlin County,Lai_Hsiao
-0.08202686202686206,-0.0034463522588522567,-0.05777816627816628,-0.03924273643023644,-0.02663143800643801,-0.007528624153624156,-0.007524591149591153,0.0019603983978983973,-0.029924485236985234,Chiayi County,Lai_Hsiao
-0.005310051060051063,0.004849643412143414,0.03194675694675694,0.005653251840751842,0.01474500499500499,0.003696844821844821,-0.01472300384800385,0.005994128556628558,0.0810045671920672,Pintung County,Lai_Hsiao
0.010888764013764011,0.0040903991841491835,0.036042110667110674,-0.03255491383616384,-0.02176563714063714,-0.015991699272949272,-0.012439856439856439,-0.005454596329596329,-0.004957427988677989,Taitung County,Hou_Chao
0.008192166629666629,-0.004173489704739708,0.02399593462093462,-0.055106182012432,0.0043374958374958325,-0.02826580017205017,-0.034322157009657024,-0.029466087153587155,-0.01733473817848818,Hualien County,Hou_Chao
-0.010888766326266336,0.03425021159396159,0.03265340215340215,-0.024089407120657127,-0.017808066933066937,0.0007581203518703544,-0.014587266899766901,-0.02314624033374034,0.0007151563714063753,Penghu County,Lai_Hsiao
-0.08697476366226366,-0.004005154567654565,-0.033436355311355324,-0.058317814130314116,0.0016482822732822723,-0.028963508713508716,-0.06753784410034411,-0.031775839900839896,-0.03277985902985904,Keelung City,Hou_Chao
-0.0705330710955711,0.0047447621822621815,-0.0031666527916527952,-0.028184274059274057,0.009977577977577971,-0.011506722444222447,0.011904699467199464,-0.010561278998779004,-0.12481789738039736,Hsinchu City,Lai_Hsiao
0.03807479788729789,0.008376796814296816,0.028557202057202052,0.030838032338032336,0.007367063492063487,0.012827790265290268,0.028573771136271138,0.034966253653753665,0.06827543521293523,Chiayi City,Lai_Hsiao
